i06,e10,c5,p17,l3,17195
i06,e10,c5,p31,l3,1045
i05,e12,c1,p13,l3,4783
i38,e10,c1,p08,l4,5188
i06,e01,c5,p21,l3,4834
i06,e11,c5,p04,l2,98
i17,e08,c5,p07,l3,7
i06,e04,c3,p02,l1,2
i06,e10,c3,p21,l3,4820
i02,e09,c1,p01,l3,4795
i06,e10,c5,p06,l1,32
i42,e05,c5,p10,l3,4781
i23,e08,c5,p10,l3,4868
i38,e10,c1,p20,l1,4784
i74,e08,c5,p21,l3,4792
i16,e04,c5,p10,l3,4787
i14,e08,c5,p16,l3,15
i16,e08,c5,p01,l3,17
i02,e09,c1,p11,l3,4797
i02,e04,c1,p22,l3,4780
i12,e01,c5,p19,l3,2
i17,e04,c5,p23,l3,2
i06,e05,c5,p15,l1,7
i38,e07,c1,p10,l2,9567
i14,e08,c5,p09,l3,1
i06,e10,c5,p28,l1,6
i38,e09,c1,p08,l2,4781
i39,e04,c5,p29,l3,1
i05,e06,c1,p14,l3,4780
i17,e11,c5,p11,l3,3
i13,e11,c5,p08,l3,2
i43,e09,c1,p21,l3,9559
i06,e08,c5,p05,l2,1329
i06,e10,c5,p19,l2,105
i06,e08,c5,p06,l2,646
i06,e10,c5,p12,l4,1840
i06,e08,c5,p15,l2,2184
i38,e10,c1,p05,l4,6263
i38,e10,c1,p29,l3,6484
i02,e08,c4,p15,l3,3
i06,e12,c5,p24,l3,64
i06,e01,c5,p11,l3,71
i06,e11,c5,p21,l2,4993
i12,e09,c5,p16,l3,7
i34,e08,c5,p06,l3,29
i38,e10,c1,p25,l3,5170
i17,e04,c5,p12,l3,4
i38,e08,c1,p02,l2,4814
i06,e10,c5,p11,l2,183
i38,e10,c1,p04,l2,4805
i38,e09,c1,p17,l2,4820
i01,e08,c1,p15,l3,4781
i38,e10,c1,p28,l2,4809
i34,e01,c5,p09,l3,26
i39,e04,c5,p16,l3,16
i43,e09,c1,p28,l3,4782
i05,e09,c1,p35,l3,4786
i45,e09,c1,p19,l3,4780
i09,e01,c5,p22,l3,1
