i38,e10,c1,p24,l4,891
i06,e10,c5,p29,l3,17113
i06,e10,c5,p31,l3,4933
i38,e06,c1,p10,l3,5485
i38,e10,c4,p29,l3,79
i38,e10,c4,p24,l3,116
i38,e06,c1,p15,l3,2423
i06,e04,c5,p10,l1,516
i02,e04,c1,p17,l3,1634
i38,e04,c1,p19,l1,172
i02,e08,c1,p11,l3,2541
i02,e08,c1,p05,l3,1578
i06,e09,c5,p29,l2,49
i06,e04,c5,p23,l1,188
i39,e09,c5,p10,l3,2335
i06,e08,c5,p01,l2,2252
i06,e10,c5,p24,l2,47
i42,e05,c5,p11,l3,2311
i18,e04,c1,p35,l3,1563
i06,e10,c3,p11,l4,15
i17,e08,c5,p21,l3,2358
i07,e08,c5,p10,l3,2316
i06,e12,c5,p22,l3,2426
i06,e11,c5,p02,l2,123
i41,e07,c1,p22,l3,1547
i21,e04,c1,p10,l3,1540
i07,e11,c5,p28,l3,2328
i38,e12,c1,p05,l3,1659
i01,e01,c1,p35,l3,1561
i23,e03,c5,p19,l3,2307
i67,e04,c5,p29,l3,2308
i43,e01,c1,p28,l3,1541
i07,e08,c5,p15,l3,2310
i39,e09,c5,p03,l3,2308
i23,e08,c5,p03,l3,2337
i34,e04,c5,p02,l3,2317
i06,e07,c5,p02,l2,2
i34,e04,c5,p17,l3,2318
i39,e09,c5,p04,l3,2313
i16,e09,c5,p14,l3,2306
i39,e09,c5,p18,l3,2308
i16,e04,c5,p04,l3,2305
i42,e05,c5,p07,l3,2307
i34,e04,c5,p16,l3,2313
i06,e10,c5,p25,l1,13
i17,e01,c5,p17,l3,2315
i34,e04,c5,p07,l3,2310
i48,e11,c1,p08,l3,1538
i14,e08,c3,p08,l3,2
i17,e08,c5,p18,l3,2313
i27,e01,c5,p06,l3,2305
i38,e10,c4,p17,l2,2
i74,e08,c5,p13,l3,2324
i39,e04,c5,p08,l3,2333
i29,e01,c5,p05,l3,2305
i34,e04,c5,p12,l3,2306
i41,e01,c1,p10,l3,1547
i46,e01,c4,p35,l3,6
i30,e09,c1,p11,l3,1538
i42,e05,c5,p03,l3,2305
i13,e08,c5,p12,l3,2310
i06,e08,c3,p10,l2,2
