i38,e10,c1,p08,l4,3954
i39,e04,c5,p35,l3,3862
i06,e08,c5,p09,l2,132
i06,e08,c5,p16,l2,482
i17,e08,c5,p04,l3,3854
i14,e08,c5,p01,l3,3858
i17,e04,c5,p25,l3,3849
i02,e01,c1,p11,l3,7703
i06,e04,c5,p15,l1,39
i38,e10,c1,p21,l2,38
i38,e10,c1,p13,l2,170
i05,e06,c1,p10,l3,3848
i38,e10,c4,p18,l4,7719
i38,e09,c1,p03,l2,14
i02,e04,c1,p19,l3,3907
i38,e10,c4,p28,l4,3855
i06,e10,c5,p07,l1,9
i34,e01,c5,p19,l3,7696
i14,e11,c5,p19,l3,3848
i02,e01,c1,p23,l3,7697
i12,e08,c5,p21,l3,3856
i46,e08,c1,p29,l3,3849
i14,e08,c3,p33,l3,3848
i38,e10,c4,p07,l4,3853
i02,e01,c1,p13,l3,7695
i06,e04,c5,p22,l1,4
i06,e01,c5,p04,l3,7694
i05,e09,c1,p35,l3,3847
i16,e04,c5,p07,l3,3847
i38,e10,c1,p21,l1,1
i06,e12,c5,p03,l3,3990
i17,e04,c5,p15,l3,3852
i12,e08,c5,p17,l3,3854
i06,e12,c5,p12,l3,7710
i06,e12,c5,p15,l3,4063
i06,e01,c5,p10,l3,7703
i06,e08,c5,p08,l2,80
i02,e01,c1,p19,l3,7758
i38,e11,c1,unknown,l2,3847
i06,e09,c5,p10,l2,6
i38,e10,c1,p35,l2,103
i38,e10,c4,p29,l3,3932
i38,e10,c1,p03,l1,4
i02,e08,c1,p22,l3,3888
i38,e04,c1,p11,l1,33
i38,e10,c1,p09,l1,2
i06,e01,c5,p05,l3,7700
i02,e08,c1,p15,l3,3871
i46,e08,c1,p06,l3,3848
i06,e10,c5,unknown,l4,3849
i05,e12,c1,p19,l3,3852
i34,e08,c5,p10,l3,3851
i12,e08,c5,p13,l3,3859
i06,e09,c5,p07,l2,5
i23,e03,c5,p03,l3,3848
i34,e04,c5,p09,l3,3847
i14,e01,c5,p05,l3,7693
i23,e09,c5,p23,l3,3847
i38,e10,c1,p08,l2,3
i14,e09,c5,p16,l3,3847
i14,e08,c3,p21,l3,3847
i06,e08,c5,p24,l2,272
i06,e08,c5,p25,l2,150
i06,e08,c5,p20,l2,98
i14,e08,c5,p29,l3,3848
i23,e08,c5,p10,l3,3849
i06,e10,c5,p22,l3,5138
i22,e05,c5,p09,l3,3860
i13,e11,c5,p24,l3,3856
i02,e01,c1,p12,l3,7721
i38,e10,c4,p01,l3,4046
i06,e10,c5,p29,l1,17
i34,e03,c5,p17,l3,3866
i06,e11,c3,p29,l2,3855
i12,e04,c5,p13,l3,3852
i05,e08,c1,p29,l3,3847
i25,e10,c5,p15,l4,3850
i38,e10,c1,unknown,l3,3850
i06,e10,c5,p11,l2,6
i17,e01,c5,p16,l3,7696
i06,e10,c5,p01,l2,2
i13,e08,c5,p12,l3,7693
i38,e11,c1,p25,l2,3848
i17,e08,c5,p22,l3,3848
i06,e08,c5,p31,l2,1
i38,e12,c1,p13,l3,3848
i38,e08,c1,p09,l2,1
i05,e01,c1,p05,l3,7693
i38,e08,c1,p08,l2,1
i46,e11,c1,p12,l3,7693
i46,e09,c4,p01,l3,3847
i05,e09,c1,p10,l3,3847
i23,e03,c5,p07,l3,3849
i02,e08,c1,p24,l3,3847
i06,e08,c5,p18,l2,4158
i38,e10,c1,p02,l4,3974
i12,e08,c5,p10,l3,3871
i17,e09,c5,p29,l3,3847
i46,e08,c4,p09,l3,3848
i06,e04,c5,p16,l1,53
i16,e08,c5,p18,l3,7705
i16,e08,c5,p21,l3,3856
i06,e10,c3,p11,l3,4014
i06,e11,c5,p15,l2,3953
i38,e10,c1,p09,l3,4106
i06,e10,c3,p23,l3,3850
i38,e01,c1,p21,l3,7695
i46,e11,c1,p20,l3,3947
i38,e06,c4,p35,l3,3863
i03,e04,c5,p19,l3,3847
i17,e04,c5,p01,l3,3860
i17,e04,c5,p24,l3,3850
i06,e12,c5,p06,l3,3867
i17,e11,c5,p10,l3,3853
i06,e10,c5,p12,l1,3851
i38,e08,c1,p14,l2,1
i06,e10,c5,p26,l1,1
i38,e10,c4,p17,l4,3855
i06,e10,c5,p33,l3,3862
i06,e10,c3,p19,l4,3853
i38,e11,c1,p08,l2,3849
i38,e08,c1,p28,l2,2
i34,e03,c5,p09,l3,3847
i02,e08,c4,p17,l3,3847
i23,e04,c5,p12,l3,7693
i14,e09,c5,p22,l3,3847
