true,pred
57,0
30,0
34,0
67,0
18,0
33,0
22,0
17,0
44,0
39,0
24,0
41,0
21,0
25,0
16,0
25,0
16,0
16,0
21,0
29,0
23,0
8,0
20,0
11,0
10,0
12,0
18,0
15,0
11,0
35,0
9,0
8,0
10,0
3,0
2,0
15,0
5,0
25,0
5,0
3,0
7,0
18,0
2,0
2,0
19,0
4,0
6,0
7,0
2,0
3,0
1,0
3,0
22,0
11,0
9,0
8,0
3,0
27,0
27,0
2,0
6,0
14,0
4,0
11,0
18,0
14,0
7,0
5,0
10,0
17,0
5,0
12,0
6,0
13,0
23,0
9,0
6,0
34,0
18,0
33,0
41,0
37,0
26,0
52,0
60,0
62,0
59,0
92,0
49,0
54,0
43,0
63,0
68,0
71,0
49,0
87,0
69,0
45,0
107,0
67,0
99,0
96,0
58,0
99,0
102,0
97,0
89,0
109,0
66,0
110,0
71,0
120,0
158,0
124,0
113,0
96,0
162,0
131,0
97,0
100,0
131,0
147,0
121,0
113,0
100,0
175,0
134,0
105,0
193,0
224,0
146,0
92,0
106,0
97,0
122,0
153,0
164,0
81,0
97,0
101,0
96,0
80,0
71,0
110,0
113,0
56,0
84,0
118,0
126,0
56,0
92,0
94,0
140,0
162,0
102,0
110,0
121,0
90,0
56,0
64,0
133,0
90,0
137,0
40,0
84,0
143,0
46,0
88,0
71,0
87,0
83,0
85,0
83,0
74,0
90,0
81,0
90,0
81,0
87,0
74,0
80,0
89,0
85,0
86,0
94,0
115,0
118,0
111,0
85,0
57,0
104,0
152,0
111,0
102,0
99,0
109,0
89,0
133,0
139,0
58,0
107,0
81,0
200,0
127,0
88,0
80,0
77,0
69,0
95,0
79,0
96,0
93,0
94,0
65,0
80,0
121,0
39,0
77,0
57,0
49,0
53,0
55,0
31,0
66,0
55,0
48,0
54,0
72,0
68,0
47,0
76,0
99,0
87,0
116,0
120,0
68,0
56,0
38,0
53,0
43,0
58,0
60,0
132,0
88,0
40,0
91,0
45,0
80,0
94,0
67,0
97,0
72,0
70,0
67,0
50,0
69,0
39,0
54,0
95,0
48,0
70,0
25,0
62,0
48,0
58,0
57,0
103,0
63,0
41,0
33,0
64,0
38,0
48,0
36,0
19,0
27,0
63,0
22,0
64,0
41,0
18,0
24,0
41,0
47,0
35,0
34,0
43,0
25,0
51,0
62,0
52,0
72,0
20,0
36,0
15,0
5,0
20,0
32,0
6,0
28,0
20,0
10,0
26,0
30,0
22,0
28,0
5,0
2,0
8,0
3,0
3,0
4,0
2,0
14,0
18,0
10,0
4,0
9,0
5,0
5,0
2,0
4,0
1,0
9,0
1,0
27,0
8,0
7,0
6,0
9,0
1,0
16,0
24,0
4,0
18,0
4,0
4,0
15,0
2,0
2,0
1,0
7,0
1,0
9,0
21,0
14,0
6,0
6,0
5,0
1,0
12,0
33,0
12,0
5,0
2,0
14,0
13,0
16,0
11,0
9,0
15,0
34,0
18,0
11,0
17,0
27,0
33,0
21,0
26,0
33,0
38,0
46,0
44,0
61,0
54,0
22,0
38,0
48,0
58,0
48,0
85,0
64,0
53,0
73,0
72,0
31,0
47,0
76,0
51,0
56,0
70,0
117,0
44,0
46,0
85,0
75,0
62,0
46,0
53,0
106,0
109,0
59,0
89,0
80,0
94,0
61,0
55,0
97,0
72,0
87,0
66,0
59,0
48,0
151,0
89,0
98,0
78,0
111,0
105,0
91,0
81,0
127,0
77,0
48,0
113,0
90,0
