true,pred
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
43,0
9,0
3,0
0,0
1,0
0,0
1,0
11,0
4,0
3,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
12,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
3,0
0,0
0,0
0,0
0,0
0,0
0,0
21,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
11,0
4,0
1,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
115,0
27,0
0,0
0,0
0,0
2,0
6,0
0,0
0,0
0,0
0,0
1,0
0,0
1,0
3,0
1,0
26,0
0,0
0,0
4,0
0,0
15,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
5,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
3,0
4,0
0,0
0,0
1,0
0,0
0,0
10,0
0,0
2,0
0,0
1,0
11,0
0,0
0,0
1,0
9,0
4,0
6,0
3,0
1,0
0,0
134,0
0,0
0,0
18,0
1,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
1,0
2,0
8,0
7,0
0,0
0,0
2,0
1,0
0,0
8,0
0,0
1,0
1,0
1,0
0,0
4,0
0,0
0,0
5,0
7,0
7,0
0,0
2,0
2,0
1,0
9,0
2,0
0,0
0,0
0,0
1,0
0,0
0,0
6,0
6,0
1,0
40,0
1,0
11,0
15,0
2,0
6,0
3,0
1,0
1,0
20,0
14,0
0,0
1,0
3,0
1,0
23,0
0,0
0,0
0,0
2,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
15,0
3,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
5,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
76,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
