true,pred
18,0
5,0
1,0
0,0
1,0
18,0
1,0
4,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
5,0
0,0
4,0
1,0
0,0
0,0
16,0
15,0
0,0
16,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
15,0
0,0
0,0
0,0
0,0
0,0
5,0
0,0
9,0
1,0
16,0
12,0
3,0
0,0
1,0
1,0
0,0
1,0
0,0
0,0
1,0
2,0
16,0
2,0
5,0
4,0
0,0
26,0
8,0
5,0
5,0
0,0
2,0
0,0
4,0
0,0
0,0
2,0
4,0
2,0
17,0
7,0
0,0
0,0
11,0
0,0
5,0
0,0
4,0
1,0
0,0
0,0
20,0
109,0
30,0
0,0
0,0
10,0
9,0
1,0
1,0
0,0
17,0
18,0
57,0
10,0
131,0
1,0
1,0
6,0
2,0
4,0
3,0
2,0
1,0
0,0
0,0
2,0
12,0
21,0
4,0
3,0
5,0
3,0
28,0
4,0
17,0
5,0
3,0
0,0
12,0
67,0
5,0
114,0
54,0
0,0
14,0
18,0
2,0
117,0
7,0
10,0
6,0
63,0
158,0
30,0
14,0
46,0
0,0
18,0
35,0
2,0
29,0
43,0
19,0
11,0
0,0
4,0
2,0
6,0
39,0
7,0
5,0
0,0
0,0
0,0
1,0
0,0
2,0
16,0
0,0
0,0
1,0
3,0
0,0
87,0
1,0
6,0
4,0
4,0
16,0
17,0
0,0
23,0
0,0
1,0
0,0
2,0
8,0
2,0
4,0
0,0
19,0
4,0
0,0
0,0
1,0
3,0
0,0
20,0
5,0
56,0
4,0
0,0
6,0
1,0
1,0
5,0
3,0
0,0
2,0
0,0
1,0
0,0
33,0
175,0
3,0
7,0
11,0
16,0
1,0
0,0
0,0
7,0
0,0
1,0
13,0
0,0
1,0
0,0
5,0
5,0
0,0
0,0
0,0
3,0
5,0
2,0
0,0
0,0
6,0
4,0
0,0
1,0
0,0
1,0
0,0
0,0
1,0
0,0
0,0
0,0
15,0
0,0
0,0
2,0
13,0
0,0
0,0
0,0
1,0
12,0
1,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
2,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
4,0
14,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
10,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
13,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
3,0
6,0
3,0
23,0
5,0
0,0
6,0
1,0
13,0
1,0
0,0
0,0
0,0
3,0
0,0
19,0
26,0
20,0
0,0
0,0
1,0
4,0
14,0
0,0
0,0
10,0
0,0
24,0
16,0
16,0
1,0
15,0
1,0
44,0
25,0
1,0
31,0
4,0
0,0
2,0
1,0
2,0
1,0
2,0
0,0
7,0
0,0
0,0
2,0
0,0
0,0
5,0
6,0
1,0
3,0
4,0
1,0
20,0
0,0
2,0
2,0
2,0
2,0
1,0
9,0
0,0
10,0
17,0
0,0
1,0
1,0
1,0
0,0
36,0
2,0
1,0
17,0
11,0
18,0
0,0
0,0
0,0
6,0
0,0
3,0
1,0
2,0
1,0
0,0
161,0
1,0
0,0
3,0
1,0
28,0
7,0
36,0
33,0
1,0
23,0
0,0
20,0
2,0
20,0
10,0
2,0
0,0
31,0
28,0
15,0
9,0
161,0
0,0
0,0
1,0
9,0
1,0
1,0
2,0
1,0
1,0
4,0
9,0
3,0
100,0
16,0
3,0
14,0
1,0
0,0
0,0
5,0
0,0
0,0
0,0
9,0
0,0
3,0
19,0
5,0
7,0
0,0
0,0
1,0
1,0
0,0
0,0
0,0
1,0
5,0
1,0
2,0
0,0
5,0
14,0
2,0
11,0
1,0
1,0
13,0
1,0
0,0
0,0
27,0
1,0
0,0
0,0
0,0
1,0
3,0
0,0
0,0
1,0
7,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
1,0
19,0
0,0
22,0
0,0
5,0
0,0
0,0
2,0
3,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
1,0
0,0
0,0
0,0
1,0
1,0
0,0
3,0
0,0
0,0
0,0
0,0
0,0
3,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
11,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
2,0
0,0
6,0
7,0
0,0
0,0
2,0
11,0
7,0
10,0
0,0
