label,pred,smoothed,true
0,0,2,2
0,0,0,0
0,0,16,16
0,0,2,2
0,0,0,0
0,0,2,2
0,0,3,3
0,0,1,1
0,0,1,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,2,2
0,0,0,0
0,0,0,0
0,0,10,10
0,0,0,0
0,0,0,0
0,0,4,4
0,0,6,6
0,0,8,8
0,0,7,7
0,0,0,0
0,0,16,16
0,0,5,5
0,0,3,3
0,0,4,4
0,0,2,2
0,0,12,12
0,0,13,13
0,0,2,2
0,0,2,2
0,0,15,15
0,0,2,2
0,0,7,7
0,0,7,7
0,0,21,21
0,0,1,1
0,0,8,8
0,0,5,5
0,0,0,0
0,0,8,8
0,0,0,0
0,0,3,3
0,0,1,1
0,0,1,1
0,0,4,4
0,0,2,2
0,0,3,3
0,0,1,1
0,0,1,1
0,0,8,8
0,0,9,9
0,0,4,4
0,0,0,0
0,0,0,0
0,0,0,0
0,0,1,1
0,0,3,3
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,2,2
0,0,1,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,1,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,4,4
0,0,0,0
0,0,3,3
0,0,0,0
0,0,7,7
0,0,1,1
0,0,4,4
0,0,3,3
0,0,5,5
0,0,11,11
0,0,1,1
0,0,11,11
0,0,2,2
0,0,7,7
0,0,11,11
0,0,4,4
0,0,2,2
0,0,1,1
0,0,1,1
0,0,1,1
0,0,7,7
0,0,2,2
0,0,2,2
0,0,7,7
0,0,1,1
0,0,4,4
0,0,0,0
0,0,8,8
0,0,2,2
0,0,2,2
0,0,0,0
0,0,0,0
0,0,5,5
0,0,3,3
0,0,2,2
0,0,2,2
0,0,0,0
0,0,3,3
0,0,11,11
0,0,1,1
0,0,4,4
0,0,11,11
0,0,7,7
0,0,3,3
0,0,2,2
0,0,4,4
0,0,1,1
0,0,0,0
0,0,0,0
0,0,3,3
0,0,1,1
0,0,1,1
0,0,4,4
0,0,1,1
0,0,3,3
0,0,1,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,5,5
0,0,0,0
0,0,1,1
0,0,7,7
0,0,2,2
0,0,1,1
0,0,3,3
0,0,11,11
0,0,2,2
0,0,3,3
0,0,7,7
0,0,5,5
0,0,11,11
0,0,0,0
0,0,0,0
0,0,1,1
0,0,0,0
0,0,13,13
0,0,4,4
0,0,3,3
0,0,2,2
0,0,0,0
0,0,0,0
0,0,5,5
0,0,5,5
0,0,2,2
0,0,1,1
0,0,0,0
0,0,0,0
0,0,1,1
0,0,4,4
0,0,6,6
0,0,4,4
0,0,4,4
0,0,6,6
0,0,3,3
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,2,2
0,0,0,0
0,0,0,0
0,0,7,7
0,0,1,1
0,0,7,7
0,0,0,0
0,0,1,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,4,4
0,0,10,10
0,0,0,0
0,0,0,0
0,0,0,0
0,0,3,3
0,0,3,3
0,0,0,0
0,0,0,0
0,0,3,3
0,0,3,3
0,0,5,5
0,0,0,0
0,0,4,4
0,0,0,0
0,0,0,0
0,0,4,4
0,0,1,1
0,0,0,0
0,0,1,1
0,0,1,1
0,0,1,1
0,0,0,0
0,0,0,0
0,0,12,12
0,0,3,3
0,0,2,2
0,0,8,8
0,0,4,4
0,0,2,2
0,0,3,3
0,0,8,8
0,0,9,9
0,0,4,4
0,0,2,2
0,0,1,1
0,0,1,1
0,0,2,2
0,0,5,5
0,0,10,10
0,0,10,10
0,0,16,16
1,0,16,41
0,0,20,20
0,0,24,24
1,0,24,30
1,0,24,32
0,0,20,20
1,0,24,37
0,0,17,17
0,0,12,12
1,0,24,30
0,0,25,25
0,0,22,22
0,0,23,23
1,0,25,30
0,0,17,17
1,0,25,39
1,0,25,35
1,0,25,33
1,0,25,45
1,0,25,32
1,0,25,54
0,0,22,22
1,0,25,36
1,0,25,39
1,0,25,42
0,0,19,19
1,0,25,30
1,0,25,39
1,0,25,56
1,0,25,61
0,0,17,17
0,0,25,25
1,0,25,37
0,0,18,18
1,0,25,48
1,0,25,31
1,0,25,29
0,0,13,13
0,0,21,21
0,0,23,23
0,0,18,18
1,0,25,29
1,0,25,42
1,0,25,44
1,0,25,44
1,0,25,57
1,0,25,29
1,0,25,36
0,0,26,26
0,0,26,26
1,0,26,36
0,0,24,24
0,0,16,16
0,0,3,3
0,0,9,9
0,0,26,26
1,0,26,36
1,0,26,34
1,0,26,36
0,0,17,17
1,0,26,37
1,0,26,34
1,0,26,33
0,0,14,14
0,0,17,17
0,0,7,7
0,0,9,9
0,0,11,11
0,0,2,2
0,0,16,16
0,0,0,0
0,0,9,9
0,0,3,3
0,0,7,7
0,0,14,14
0,0,13,13
0,0,6,6
0,0,9,9
0,0,6,6
0,0,18,18
0,0,16,16
0,0,11,11
0,0,23,23
0,0,20,20
0,0,16,16
0,0,7,7
0,0,14,14
0,0,13,13
0,0,8,8
0,0,3,3
0,0,12,12
0,0,2,2
0,0,6,6
0,0,7,7
0,0,12,12
0,0,5,5
0,0,6,6
0,0,18,18
0,0,1,1
0,0,21,21
0,0,11,11
0,0,18,18
0,0,18,18
0,0,3,3
0,0,6,6
0,0,1,1
0,0,2,2
0,0,9,9
0,0,20,20
0,0,6,6
0,0,0,0
0,0,0,0
0,0,0,0
0,0,1,1
0,0,12,12
0,0,1,1
0,0,1,1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,6,6
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,1,1
0,0,10,10
0,0,4,4
0,0,0,0
0,0,3,3
0,0,0,0
0,0,2,2
0,0,20,20
0,0,5,5
0,0,0,0
0,0,0,0
0,0,5,5
0,0,10,10
0,0,11,11
0,0,1,1
0,0,14,14
0,0,4,4
0,0,0,0
0,0,2,2
0,0,1,1
0,0,4,4
0,0,6,6
0,0,1,1
0,0,5,5
0,0,3,3
0,0,1,1
0,0,6,6
0,0,3,3
0,0,3,3
0,0,12,12
0,0,10,10
0,0,4,4
0,0,1,1
0,0,2,2
0,0,8,8
0,0,10,10
0,0,10,10
0,0,0,0
0,0,9,9
0,0,7,7
0,0,8,8
0,0,10,10
0,0,9,9
0,0,11,11
0,0,2,2
0,0,6,6
0,0,7,7
0,0,1,1
0,0,0,0
0,0,1,1
0,0,5,5
0,0,1,1
0,0,5,5
0,0,11,11
0,0,2,2
0,0,2,2
0,0,5,5
0,0,2,2
0,0,2,2
0,0,1,1
0,0,11,11
0,0,10,10
0,0,7,7
0,0,3,3
0,0,7,7
0,0,5,5
0,0,0,0
0,0,7,7
0,0,2,2
0,0,3,3
0,0,1,1
0,0,13,13
0,0,3,3
0,0,0,0
0,0,1,1
0,0,1,1
0,0,5,5
0,0,3,3
0,0,6,6
0,0,5,5
0,0,0,0
0,0,2,2
0,0,0,0
0,0,1,1
0,0,4,4
0,0,4,4
0,0,2,2
0,0,1,1
0,0,4,4
0,0,13,13
0,0,5,5
0,0,5,5
0,0,3,3
0,0,7,7
0,0,0,0
0,0,6,6
0,0,2,2
0,0,1,1
0,0,6,6
0,0,0,0
0,0,3,3
0,0,1,1
0,0,0,0
0,0,1,1
0,0,10,10
0,0,4,4
0,0,1,1
0,0,3,3
0,0,4,4
0,0,6,6
0,0,4,4
0,0,2,2
0,0,3,3
0,0,6,6
0,0,1,1
0,0,2,2
0,0,4,4
0,0,5,5
0,0,10,10
0,0,5,5
0,0,0,0
0,0,0,0
0,0,0,0
0,0,5,5
0,0,0,0
0,0,0,0
0,0,6,6
0,0,2,2
0,0,3,3
0,0,3,3
0,0,2,2
0,0,1,1
